School,Gender,Position
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,3.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,1.0,4.0
Boston U,2.0,4.0
Boston U,2.0,4.0
Boston U,2.0,4.0
Boston U,2.0,4.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,1.0,3.0
Columbia,2.0,3.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Columbia,1.0,4.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,1.0,3.0
Cornell,2.0,3.0
Cornell,2.0,3.0
Cornell,2.0,3.0
Cornell,1.0,4.0
Cornell,1.0,4.0
Cornell,1.0,4.0
Cornell,1.0,4.0
Cornell,1.0,4.0
Cornell,2.0,4.0
Cornell,2.0,4.0
Cornell,2.0,4.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,1.0,3.0
Duke,2.0,3.0
Duke,2.0,3.0
Duke,2.0,3.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Duke,1.0,4.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,1.0,3.0
Emory,2.0,3.0
Emory,2.0,3.0
Emory,2.0,3.0
Emory,2.0,3.0
Emory,1.0,4.0
Emory,1.0,4.0
Emory,1.0,4.0
Emory,2.0,4.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,2.0,4.0
Harvard,2.0,4.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,2.0,3.0
Harvard,1.0,3.0
Harvard,1.0,3.0
Harvard,2.0,3.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,1.0,4.0
Harvard,2.0,4.0
Harvard,2.0,4.0
Harvard,2.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,1.0,3.0
Johns H,2.0,3.0
Johns H,2.0,3.0
Johns H,2.0,3.0
Johns H,2.0,3.0
Johns H,1.0,4.0
Johns H,1.0,4.0
Johns H,1.0,4.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,1.0,3.0
McMaster,2.0,3.0
McMaster,2.0,3.0
McMaster,2.0,3.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,1.0,4.0
McMaster,2.0,4.0
MIT,1.0,4.0
MIT,1.0,3.0
MIT,2.0,3.0
MIT,1.0,4.0
MIT,1.0,4.0
MIT,1.0,4.0
MIT,2.0,4.0
MIT,2.0,4.0
MIT,2.0,4.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,1.0,3.0
NWestern,2.0,3.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,1.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
NWestern,2.0,4.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,1.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,2.0,3.0
Stanford,1.0,4.0
Stanford,1.0,4.0
Stanford,1.0,4.0
Stanford,2.0,4.0
Stanford,2.0,4.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,1.0,3.0
UChicago,2.0,3.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,1.0,4.0
UChicago,2.0,4.0
UChicago,2.0,4.0
UChicago,2.0,4.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,1.0,3.0
UMichigan,2.0,3.0
UMichigan,2.0,3.0
UMichigan,2.0,3.0
UMichigan,2.0,3.0
UMichigan,2.0,3.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,1.0,4.0
UMichigan,2.0,4.0
UMichigan,2.0,4.0
UMichigan,2.0,4.0
UMichigan,2.0,4.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,1.0,3.0
UNC,2.0,3.0
UNC,2.0,3.0
UNC,2.0,3.0
UNC,2.0,3.0
UNC,2.0,3.0
UNC,2.0,3.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,1.0,4.0
UNC,2.0,4.0
UNC,2.0,4.0
UNC,2.0,4.0
UNC,2.0,4.0
UNC,2.0,4.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,1.0,3.0
UPenn,2.0,3.0
UPenn,2.0,3.0
UPenn,2.0,3.0
UPenn,2.0,3.0
UPenn,2.0,3.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,1.0,4.0
UPenn,2.0,4.0
UPenn,2.0,4.0
UToronto,1.0,4.0
UToronto,1.0,4.0
UToronto,1.0,4.0
UToronto,1.0,4.0
UToronto,1.0,4.0
UToronto,2.0,4.0
UToronto,2.0,4.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,1.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,2.0,3.0
UToronto,1.0,4.0
UToronto,1.0,4.0
UToronto,2.0,4.0
UToronto,2.0,4.0
UToronto,1.0,4.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,1.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,2.0,3.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,1.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UW,2.0,4.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,1.0,3.0
UPitt,2.0,3.0
UPitt,2.0,3.0
UPitt,2.0,3.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,1.0,4.0
UPitt,2.0,4.0
UBC,1.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,1.0,4.0
UBC,2.0,4.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,1.0,3.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,1.0,4.0
UBC,2.0,4.0
UBC,1.0,4.0
UBC,1.0,3.0
UBC,2.0,3.0
UBC,2.0,3.0
UBC,1.0,3.0
UBC,1.0,3.0
UBC,1.0,4.0
UBC,2.0,4.0
UBC,2.0,4.0
UCSD,2.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,1.0,3.0
UCSD,2.0,3.0
UCSD,2.0,3.0
UCSD,2.0,3.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,1.0,4.0
UCSD,2.0,4.0
UCSD,2.0,4.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,1.0,3.0
UCLA,2.0,3.0
UCLA,2.0,3.0
UCLA,2.0,3.0
UCLA,2.0,3.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,1.0,4.0
UCLA,2.0,4.0
UCLA,2.0,4.0
UCLA,2.0,4.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,1.0,3.0
UCSF,2.0,3.0
UCSF,2.0,3.0
UCSF,2.0,3.0
UCSF,2.0,3.0
UCSF,2.0,3.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,1.0,4.0
UCSF,2.0,4.0
UCSF,2.0,4.0
UCSF,2.0,4.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,1.0,3.0
Vanderbilt,2.0,3.0
Vanderbilt,2.0,3.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,1.0,4.0
Vanderbilt,2.0,4.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,1.0,3.0
WUStL,2.0,3.0
WUStL,2.0,3.0
WUStL,1.0,4.0
WUStL,1.0,4.0
WUStL,1.0,4.0
WUStL,1.0,4.0
WUStL,2.0,4.0
WUStL,2.0,4.0
WUStL,2.0,4.0
WUStL,2.0,4.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,1.0,3.0
Yale,2.0,3.0
Yale,2.0,3.0
Yale,2.0,3.0
Yale,1.0,4.0
Yale,1.0,4.0
Yale,1.0,4.0
Yale,1.0,4.0
Yale,1.0,4.0
Yale,1.0,4.0
Yale,2.0,4.0
Yale,2.0,4.0
